SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Scale,DPaW region,Schedule,Scientific name,Common name,Geographic distribution,ESU number,ESU number reliability,ESU trend,ESU trend reliability,ESU notes,Population number,Population number translocated,Population IUCN category,Population number reliability,Population trend,Population trend reliability,Population notes,Mature individuals number,Mature individuals IUCN category,Mature individuals number reliability,Mature individuals trend,Mature individuals number trend reliability,Mature individuals notes,EOO area ha,EOO area IUCN category,EOO method,EOO trend,EOO notes,AOO area ha,AOO area IUCN category,AOO method,AOO trend,AOO notes,Habitat specificity fire,Habitat specificity restriction,Habitat specificity restriction reliability,Habitat specificity restriction trend,Habitat specificity notes,Last survey  detected year,Last survey not detected year,Last survey  anecdotal year,Additional notes 1 ,Conservation status EPBC,Conservation status WA,Conservation status assignment year,Conservation status IUCN criteria,Past pressures category,Past pressures comments,Future threats category,Future threats comments,Recovery plan commencement date,Recovery Goals,Recovery Targets,Reassessment of conservation status required,Management requirements research category,Management requirements research comment,Management requirements evaluation,Management requirements evaluation comment,Management requirements conservation planning category,Management requirements conservation planning comment,Management requirements direct intervention category,Management requirements direct intervention comment,Management requirements indirect intervention category,Management requirements indirect intervention comment,Management requirements other category,Management requirements other comment,Additional notes 2,References,Is full assessment condition,Last full assessment date,Last updated on
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),,Weeds (specify dominant spp),,,,,,,,,,,,,,MI v) Ex-situ conservation (specify),seed collection and storage,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,gravel extraction (likely lead to spread of species),Mining ,gravel extraction (likely lead to spread of species),,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire frequency,"too infrequent, too frequent",Fire frequency,"too infrequent, too frequent",,,,,,,,,,,,,MI xii) Planning processes,Strategic Assessment Perth & Peel,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing by stock,Livestock farming (specify),grazing by stock,,,,,,,,,,,,,,,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify),grazing by kangaroos,Problem native spp. (specify),grazing by kangaroos,,,,,,,,,,,,,,,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,power line maintenance,Utilities,power line maintenance,,,,,,,,,,,,,,,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,Refer to State level,,,,,5,Unknown,Less than or equal to 5 (potentially meets location/subpopulation criteria EN),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,"Central Wheatbelt & Perth Hills Dists: count, boundary of subregion: pops 12, 13 and 14 are listed as unnatural pops; number of translocations unknown. Possibly losing natural pops, gaining artificial, spread of gravel under power lines, disturbance opportunist.",86,< 250 (potentially meets mature individual criteria CR),Quantitative unpublished data and expert opinion,Large fluctuations,Expert opinion,Central Wheatbelt Dist: count from TPFL; boundary of subregion,Refer to State level,,,,,,,,,,,,,,,2013,,2013,Central Wheatbelt & Perth Hills Dists: TPFL includes unnatural pops and this may be artificially increasing the number of pops and contributing to increasing trends while masking possible  decline in natural populations. ,Vulnerable,Vulnerable,,C2a,Cropping/Horticulture (specify),"historical clearing, fragmentation",Cropping/Horticulture (specify),"historical clearing, fragmentation",None,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD i) Fire management for biodiversity (specify),"fire break maintenace, use of fire in senescing populations",MI x) Regulation - Native vegetation clearing/pollution,,,,Central Wheatbelt & Perth Hills Dists: management requirements,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Wheatbelt & Perth Hills Dists: past pressures and future threats,,,,,Roads & rail,road widening and maintenance,Roads & rail,road widening and maintenance,,,,,,,EV vi) Input of existing data into DPaW’s corporate databases (specify source of data),resolve TPFL numbering of populations to exclude unnatural/planted populations,,,MD iv) Herbivore/omnivore control or eradication ,herbivore exclusion following fire,MI xi) Regulation - environmental impact assessment,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adverse management fire (specify),fire break maintenance,Adverse management fire (specify),fire break maintenance,,,,,,,,,,,MD ii) Weed control or eradication,weed control,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demographic stochasticity,"senecence, lack of disturbance",Demographic stochasticity,"senecence, lack of disturbance",,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with utilities, LGAs, Main Roads, private landholders, Dept of Defense",,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),,Weeds (specify dominant spp),,,,,,,,,,,,,,MI v) Ex-situ conservation (specify),seed collection and storage,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,gravel extraction (likely lead to spread of species),Mining ,gravel extraction (likely lead to spread of species),,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire frequency,"too infrequent, too frequent",Fire frequency,"too infrequent, too frequent",,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing by stock,Livestock farming (specify),grazing by stock,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify),grazing by kangaroos,Problem native spp. (specify),grazing by kangaroos,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,power line maintenance,Utilities,power line maintenance,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,1,Expert opinion,Static,Expert opinion,"IRP 2003: no info on genetic or morphological variation, known from a small geographic area",10,0,Less than or equal to 10 (potentially meets location/subpopulation criteria VU),Quantitative analysis of data not publically available,Increased (new knowledge - biological survey),Quantitative analysis of data not publically available,"SEWPAC 2011: count (increase in pops from 8 to 11), increase due to survey. JM: Pop 8 is a translocation but SEWPAC 2011 advises this population is not mature, therefore not counted; TPFL advises Pop 6A is possibly extinct but not whole pop. JM: this taxon was not taken to Moora Dist, info from SEWPAC 2011 & TPFL. ",325,"< 1,000 (potentially meets mature individual criteria EN)",Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative analysis of data not publically available,"SEWPAC 2011: population count, increase due to survey; translocated pop not mature so not counted. TPFL 185. ","2,748","< 10,000ha  (potentially meets extent of occurrence criteria CR)",Minimum convex polygon (state detail):,Unknown,S&C calc: area. JM: trend unknown. ,Unknown,Unknown,-,Unknown,"JM: no info on AOO in SEWPAC 2011, TPFL or IRP 2003; trend unknown as new pops found but small numbers of plants, possible loss of Pop 6A. ",,Restricted,Quantitative analysis of data published or publically available following peer review,Static,"IRP 2003: habitat is gravely brown clayey sand, often with surface quartz",2011,,,"SEWPAC 2011: The geographic distribution of the species is fragmented and could be considered to be precarious, the condition of habitat at many populations is degraded, and abundances at some locations have declined over the period of adoption of the IRP. Although several (sub)populations of this species exist, 10 out of 16 are on road verges and these continue to be at risk from threatening processes - none, including the translocated populations, are on land of secure tenure (3). The species as a whole is considered to be stable or slightly declining, despite the recent boost in overall abundance provided by the maturation of plants at Pop8[T] (N. Sheehy), and DEC Moora District staff consider the rank of CR in WA to be appropriate at present (B. Todd).",Endangered,Critically Endangered,,"B1ab(iii,v)+2ab(iii,v)",Cropping/Horticulture (specify),"historical clearing, loss of habitat",Cropping/Horticulture (specify),"historical clearing, loss of habitat",2003,,,,IN v) Threatened & priority flora locations (individual species),survey of potential habitat (especially remnant vegetation),EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP i) Threatened taxa recovery plan (specify),update IRP,MD ix) Translocation,"translocations where appropriate, restocking of translocated population if required",MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaise with land holders, LGAs and Main Roads",MI xiii) Education and awareness (specify),promotional material; install/maintain DRF markers,"JM: management requirements from SEWPAC 2011, IRP 2003 and for consistency with other taxa, PLEASE CHECK",,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JM: past pressures and future threats in red from SEWPAC 2011 and IRP 2003, PLEASE CHECK",,,,,Livestock farming (specify),"historical clearing, loss of habitat; grazing by stock",Livestock farming (specify),"historical clearing, loss of habitat; grazing by stock",,,,,Au v) Reproductive biology & breeding system,"research on seed biology, ecology and germination",,,CP ix) Other management plan (specify),update Moora District DRF plan,MD i) Fire management for biodiversity (specify),included in 2010 'Threatened Flora Fire Response' project (E. Shedley) but needs a species-specific fire management strategy,MI v) Ex-situ conservation (specify),seed collection and storage,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,"road maintenance, weed spraying, changes to hydrology",Roads & rail,"road maintenance, weed spraying, changes to hydrology",,,,,,,,,,,MD vi) Habitat restoration (specify),herbivore exclusion fencing,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),annual grasses,Weeds (specify dominant spp),annual grasses,,,,,,,,,,,MD ii) Weed control or eradication,weed control where appropriate,MI xi) Regulation - environmental impact assessment,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adverse management fire (specify),firebreak maintenance,Adverse management fire (specify),firebreak maintenance,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (agriculture),overspray,Pollution (agriculture),overspray,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify),grazing by kangaroos,Problem native spp. (specify),grazing by kangaroos,,,,,,,,,,,,,,,,,,,,,
AVW01,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,1,Expert opinion,Static,Expert opinion,"IRP 2003: no info on genetic or morphological variation, known from a small geographic area",10,0,Less than or equal to 10 (potentially meets location/subpopulation criteria VU),Quantitative analysis of data not publically available,Increased (new knowledge - biological survey),Quantitative analysis of data not publically available,"SEWPAC 2011: count (increase in pops from 8 to 11), increase due to survey. JM: Pop 8 is a translocation but SEWPAC 2011 advises this population is not mature, therefore not counted; TPFL advises Pop 6A is possibly extinct but not whole pop. JM: this taxon was not taken to Moora Dist, info from SEWPAC 2011 & TPFL. ",325,"< 1,000 (potentially meets mature individual criteria EN)",Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative analysis of data not publically available,"SEWPAC 2011: population count, increase due to survey; translocated pop not mature so not counted. TPFL 185. ","2,748","< 10,000ha  (potentially meets extent of occurrence criteria CR)",Minimum convex polygon (state detail):,Unknown,S&C calc: area. JM: trend unknown. ,Unknown,Unknown,-,Unknown,"JM: no info on AOO in SEWPAC 2011, TPFL or IRP 2003; trend unknown as new pops found but small numbers of plants, possible loss of Pop 6A. ",,Restricted,Quantitative analysis of data published or publically available following peer review,Static,"IRP 2003: habitat is gravely brown clayey sand, often with surface quartz",2011,,,"SEWPAC 2011: The geographic distribution of the species is fragmented and could be considered to be precarious, the condition of habitat at many populations is degraded, and abundances at some locations have declined over the period of adoption of the IRP. Although several (sub)populations of this species exist, 10 out of 16 are on road verges and these continue to be at risk from threatening processes - none, including the translocated populations, are on land of secure tenure (3). The species as a whole is considered to be stable or slightly declining, despite the recent boost in overall abundance provided by the maturation of plants at Pop8[T] (N. Sheehy), and DEC Moora District staff consider the rank of CR in WA to be appropriate at present (B. Todd).",Endangered,Critically Endangered,,"B1ab(iii,v)+2ab(iii,v)",Cropping/Horticulture (specify),"historical clearing, loss of habitat",Cropping/Horticulture (specify),"historical clearing, loss of habitat",2003,,,,IN v) Threatened & priority flora locations (individual species),survey of potential habitat (especially remnant vegetation),EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP i) Threatened taxa recovery plan (specify),update IRP,MD ix) Translocation,"translocations where appropriate, restocking of translocated population if required",MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaise with land holders, LGAs and Main Roads",MI xiii) Education and awareness (specify),promotional material; install/maintain DRF markers,"JM: management requirements from SEWPAC 2011, IRP 2003 and for consistency with other taxa, PLEASE CHECK",,,,
AVW01,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JM: past pressures and future threats in red from SEWPAC 2011 and IRP 2003, PLEASE CHECK",,,,,Livestock farming (specify),"historical clearing, loss of habitat; grazing by stock",Livestock farming (specify),"historical clearing, loss of habitat; grazing by stock",,,,,Au v) Reproductive biology & breeding system,"research on seed biology, ecology and germination",,,CP ix) Other management plan (specify),update Moora District DRF plan,MD i) Fire management for biodiversity (specify),included in 2010 'Threatened Flora Fire Response' project (E. Shedley) but needs a species-specific fire management strategy,MI v) Ex-situ conservation (specify),seed collection and storage,,,,,,,
AVW01,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,"road maintenance, weed spraying, changes to hydrology",Roads & rail,"road maintenance, weed spraying, changes to hydrology",,,,,,,,,,,MD vi) Habitat restoration (specify),herbivore exclusion fencing,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
AVW01,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),annual grasses,Weeds (specify dominant spp),annual grasses,,,,,,,,,,,MD ii) Weed control or eradication,weed control where appropriate,MI xi) Regulation - environmental impact assessment,,,,,,,,
AVW01,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
AVW01,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adverse management fire (specify),firebreak maintenance,Adverse management fire (specify),firebreak maintenance,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
AVW01,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (agriculture),overspray,Pollution (agriculture),overspray,,,,,,,,,,,,,,,,,,,,,
AVW01,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,,,,,,,,,,,,,,,,,,,,,
AVW01,Midwest,Sch1: Extant taxa (Rare flora),Acacia aprica,Blunt Wattle,AVW01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify),grazing by kangaroos,Problem native spp. (specify),grazing by kangaroos,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aristulata,Watheroo Wattle,AVW02 GES02,"1, but > 1 likely",Expert opinion,Static,Expert opinion,"Moora Dist: 2 different veg & soil types, separated by approx 20kms",6,0,Less than or equal to 10 (potentially meets location/subpopulation criteria VU),Quantitative unpublished data and expert opinion,Static (no change),Quantitative unpublished data and expert opinion,Moora Dist: populations as per subregions,Unknown,Unknown,Quantitative unpublished data and expert opinion,Decreased (pressures > recovery actions),Quantitative unpublished data and expert opinion,"Moora Dist: number of mature individuals is unknown, refer to subregions for more info, plants have likely senesced and declined in numbers. TPFL 178. ","4,112","< 10,000ha  (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Static (no change),S&C calc: area; Moora Dist: possible loss of pops 3 in Cairn Hill (not seen since 2000) however this does not change the shape of the polygon therefore trend = static. ,Unknown,Unknown,-,Unknown,"Moora Dist: unknown AOO, not visited by staff since 2008",,Restricted,Expert opinion,Static,Moora Dist: quartz and chert,2008,,,Cross refer Coomberdale chert hills TEC,Endangered,Endangered,,B1+2c; C2a,Adverse management fire (specify),firebreak maintenance,Adverse management fire (specify),firebreak maintenance,None,,,"Currently threatened taxa, likely status unknown",SC iii) Determination/re-evaluation of conservation status/formal classification,re-evaluation of status if mining proceeds for Coomberdale Chert community,EV ii) Develop/implement threat monitoring protocols,,CP i) Threatened taxa recovery plan (specify),,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection and storage,MI xiii) Education and awareness (specify),maintian DRF markers,Moora Dist: management requirements,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aristulata,Watheroo Wattle,AVW02 GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moora Dist: Past pressures and future threats,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,QTP iii) Quantifying threatening processes – species,detrermine fire response,,,CP ii) Threatened/priority ecological community recovery plan (specify),part of Coomberdale Chert TEC,MD iv) Herbivore/omnivore control or eradication ,goat control,MI x) Regulation - Native vegetation clearing/pollution,,MI xiii) Education and awareness (specify),"promotional material, focused on local landholders (tie in with Coomberdale Chert TEC)",EPBC conservation advice 2008,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aristulata,Watheroo Wattle,AVW02 GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,Climate change (long-term reduced rainfall),,,,,,SC ii) Phylogeography & genetic variation/structuring,determine if any genetic structuring between populations,,,,,MD xii) Manage access,fencing to exclude herbivores,MI xi) Regulation - environmental impact assessment,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aristulata,Watheroo Wattle,AVW02 GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),,Weeds (specify dominant spp),,,,,,QTP iii) Quantifying threatening processes – species,determine Pc susceptibility,,,,,MD ix) Translocation,where appropriate,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aristulata,Watheroo Wattle,AVW02 GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by goats,Invasive/introduced herbivores (specify),grazing by goats,,,,,IN v) Threatened & priority flora locations (individual species),survey of potential habitat on private property,,,,,,,MI ii) Habitat protection through other statutory mechanisms (specify),progress conservation covenenting where possible,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Acacia aristulata,Watheroo Wattle,AVW02 GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify) ,grazing by goats (unmanaged stock),Livestock farming (specify) ,grazing by goats (unmanaged stock),,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaise with land holders, LGAs, Main Roads, minining proponents, utilities",,,,,,,
